name,type,start_time,duration,miso,mosi
Flipper-W5500,result,1.223027917,0.000003833,0x00,0x02
Flipper-W5500,disable,1.223033167,0.000000083,,
Flipper-W5500,enable,1.223034417,0.000000083,,
Flipper-W5500,result,1.223035917,0.000003833,0x01,0x00
Flipper-W5500,result,1.223039917,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223043917,0.000003833,0x03,0x4C
Flipper-W5500,result,1.223047917,0.000003833,0x00,0x02
Flipper-W5500,disable,1.22305325,0.000000083,,
Flipper-W5500,enable,1.223054417,0.000000083,,
Flipper-W5500,result,1.223056,0.000003833,0x01,0x00
Flipper-W5500,result,1.22306,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223064,0.000003833,0x03,0x6C
Flipper-W5500,result,1.223068,0.000003833,0x00,0x01
Flipper-W5500,disable,1.22307325,0.000000083,,
Flipper-W5500,enable,1.2230745,0.000000083,,
Flipper-W5500,result,1.223076,0.000003833,0x01,0x00
Flipper-W5500,result,1.22308,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223084,0.000003833,0x03,0x8C
Flipper-W5500,result,1.223088,0.000003833,0x00,0x01
Flipper-W5500,disable,1.22309325,0.000000083,,
Flipper-W5500,enable,1.2230945,0.000000083,,
Flipper-W5500,result,1.223096083,0.000003833,0x01,0x00
Flipper-W5500,result,1.223100083,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223104083,0.000003833,0x03,0xAC
Flipper-W5500,result,1.223108083,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223113333,0.000000083,,
Flipper-W5500,enable,1.2231145,0.000000083,,
Flipper-W5500,result,1.223116083,0.000003833,0x01,0x00
Flipper-W5500,result,1.223120083,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223124083,0.000003833,0x03,0xCC
Flipper-W5500,result,1.223128083,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223133333,0.000000083,,
Flipper-W5500,enable,1.223134583,0.000000083,,
Flipper-W5500,result,1.223136083,0.000003833,0x01,0x00
Flipper-W5500,result,1.223140083,0.000003833,0x02,0x1F
Flipper-W5500,result,1.223144083,0.000003833,0x03,0xEC
Flipper-W5500,result,1.223148083,0.000003833,0x00,0x00
Flipper-W5500,disable,1.223153417,0.000000083,,
Flipper-W5500,enable,1.223156917,0.000000083,,
Flipper-W5500,result,1.223158417,0.000003833,0x01,0x00
Flipper-W5500,result,1.223162417,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223166417,0.000003833,0x03,0x0C
Flipper-W5500,result,1.223170417,0.000003833,0x00,0x08
Flipper-W5500,disable,1.22317575,0.000000083,,
Flipper-W5500,enable,1.223177,0.000000083,,
Flipper-W5500,result,1.2231785,0.000003833,0x01,0x00
Flipper-W5500,result,1.2231825,0.000003833,0x02,0x1E
Flipper-W5500,result,1.2231865,0.000003833,0x03,0x2C
Flipper-W5500,result,1.2231905,0.000003833,0x00,0x02
Flipper-W5500,disable,1.223195833,0.000000083,,
Flipper-W5500,enable,1.223197,0.000000083,,
Flipper-W5500,result,1.223198583,0.000003833,0x01,0x00
Flipper-W5500,result,1.223202583,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223206583,0.000003833,0x03,0x4C
Flipper-W5500,result,1.223210583,0.000003833,0x00,0x02
Flipper-W5500,disable,1.223215833,0.000000083,,
Flipper-W5500,enable,1.223217083,0.000000083,,
Flipper-W5500,result,1.223218667,0.000003833,0x01,0x00
Flipper-W5500,result,1.223222667,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223226667,0.000003833,0x03,0x6C
Flipper-W5500,result,1.223230667,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223235917,0.000000083,,
Flipper-W5500,enable,1.223237167,0.000000083,,
Flipper-W5500,result,1.223238667,0.000003917,0x01,0x00
Flipper-W5500,result,1.223242667,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223246667,0.000003917,0x03,0x8C
Flipper-W5500,result,1.223250667,0.000003917,0x00,0x01
Flipper-W5500,disable,1.223256,0.000000083,,
Flipper-W5500,enable,1.22325725,0.000000083,,
Flipper-W5500,result,1.22325875,0.000003833,0x01,0x00
Flipper-W5500,result,1.22326275,0.000003833,0x02,0x1E
Flipper-W5500,result,1.22326675,0.000003833,0x03,0xAC
Flipper-W5500,result,1.22327075,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223276083,0.000000083,,
Flipper-W5500,enable,1.22327725,0.000000083,,
Flipper-W5500,result,1.223278833,0.000003833,0x01,0x00
Flipper-W5500,result,1.223282833,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223286833,0.000003833,0x03,0xCC
Flipper-W5500,result,1.223290833,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223296083,0.000000083,,
Flipper-W5500,enable,1.223297333,0.000000083,,
Flipper-W5500,result,1.223298917,0.000003833,0x01,0x00
Flipper-W5500,result,1.223302917,0.000003833,0x02,0x1E
Flipper-W5500,result,1.223306917,0.000003833,0x03,0xEC
Flipper-W5500,result,1.223310917,0.000003833,0x00,0x00
Flipper-W5500,disable,1.223316167,0.000000083,,
Flipper-W5500,enable,1.223319667,0.000000083,,
Flipper-W5500,result,1.223321167,0.000003833,0x01,0x00
Flipper-W5500,result,1.223325167,0.000003833,0x02,0x09
Flipper-W5500,result,1.223329167,0.000003833,0x03,0x04
Flipper-W5500,result,1.223335417,0.000003833,0x00,0x02
Flipper-W5500,result,1.223339417,0.000003833,0x00,0x00
Flipper-W5500,result,1.223343417,0.000003833,0x00,0x00
Flipper-W5500,result,1.223347417,0.000003833,0x00,0x00
Flipper-W5500,result,1.223351417,0.000003833,0x00,0x00
Flipper-W5500,result,1.223355417,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223360667,0.000000083,,
Flipper-W5500,enable,1.22336175,0.000000083,,
Flipper-W5500,result,1.22336325,0.000003833,0x01,0x00
Flipper-W5500,result,1.22336725,0.000003833,0x02,0x01
Flipper-W5500,result,1.22337125,0.000003833,0x03,0x04
Flipper-W5500,result,1.2233775,0.000003833,0x00,0xc0
Flipper-W5500,result,1.2233815,0.000003833,0x00,0xa8
Flipper-W5500,result,1.2233855,0.000003833,0x00,0x01
Flipper-W5500,result,1.2233895,0.000003833,0x00,0x01
Flipper-W5500,disable,1.22339475,0.000000083,,
Flipper-W5500,enable,1.223395833,0.000000083,,
Flipper-W5500,result,1.223397333,0.000003833,0x01,0x00
Flipper-W5500,result,1.223401333,0.000003833,0x02,0x05
Flipper-W5500,result,1.223405333,0.000003833,0x03,0x04
Flipper-W5500,result,1.2234115,0.000003833,0x00,0xff
Flipper-W5500,result,1.2234155,0.000003833,0x00,0xff
Flipper-W5500,result,1.2234195,0.000003833,0x00,0xff
Flipper-W5500,result,1.2234235,0.000003833,0x00,0x00
Flipper-W5500,disable,1.22343,0.000000083,,
Flipper-W5500,enable,1.223431,0.000000083,,
Flipper-W5500,result,1.223432583,0.000003833,0x01,0x00
Flipper-W5500,result,1.223436583,0.000003833,0x02,0x0F
Flipper-W5500,result,1.223440583,0.000003833,0x03,0x04
Flipper-W5500,result,1.22344675,0.000003833,0x00,0xc0
Flipper-W5500,result,1.22345075,0.000003833,0x00,0xa8
Flipper-W5500,result,1.22345475,0.000003833,0x00,0x01
Flipper-W5500,result,1.22345875,0.000003833,0x00,0xfa
Flipper-W5500,disable,1.223464083,0.000000083,,
Flipper-W5500,enable,1.223468333,0.000000083,,
Flipper-W5500,result,1.223469833,0.000003833,0x01,0x00
Flipper-W5500,result,1.223473833,0.000003833,0x02,0x09
Flipper-W5500,result,1.223477833,0.000003833,0x03,0x04
Flipper-W5500,result,1.223484083,0.000003833,0x00,0x02
Flipper-W5500,result,1.223488083,0.000003833,0x00,0x00
Flipper-W5500,result,1.223492083,0.000003833,0x00,0x00
Flipper-W5500,result,1.223496083,0.000003833,0x00,0x00
Flipper-W5500,result,1.223500083,0.000003833,0x00,0x00
Flipper-W5500,result,1.223504083,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223509333,0.000000083,,
Flipper-W5500,enable,1.223510417,0.000000083,,
Flipper-W5500,result,1.223511917,0.000003833,0x01,0x00
Flipper-W5500,result,1.223515917,0.000003833,0x02,0x01
Flipper-W5500,result,1.223519917,0.000003833,0x03,0x04
Flipper-W5500,result,1.223526167,0.000003833,0x00,0xc0
